rid;time;value
51043990;2017-02-01 20:35:00;1
51044257;2017-02-01 20:40:00;1
51044353;2017-02-01 20:45:00;1
51044530;2017-02-01 20:50:00;2
0;2017-02-01 20:55:00;0
0;2017-02-01 21:00:00;0
0;2017-02-01 21:05:00;0
51045053;2017-02-01 21:10:00;1
0;2017-02-01 21:15:00;0
51045427;2017-02-01 21:20:00;1
0;2017-02-01 21:25:00;0
51045718;2017-02-01 21:30:00;1
0;2017-02-01 21:35:00;0
51046073;2017-02-01 21:40:00;1
0;2017-02-01 21:45:00;0
51046461;2017-02-01 21:50:00;1
0;2017-02-01 21:55:00;0
51046687;2017-02-01 22:00:00;1
51046825;2017-02-01 22:05:00;1
0;2017-02-01 22:10:00;0
0;2017-02-01 22:15:00;0
0;2017-02-01 22:20:00;0
0;2017-02-01 22:25:00;0
51047534;2017-02-01 22:30:00;1
0;2017-02-01 22:35:00;0
0;2017-02-01 22:40:00;0
0;2017-02-01 22:45:00;0
0;2017-02-01 22:50:00;0
51048137;2017-02-01 22:55:00;1
0;2017-02-01 23:00:00;0
0;2017-02-01 23:05:00;0
0;2017-02-01 23:10:00;0
0;2017-02-01 23:15:00;0
0;2017-02-01 23:20:00;0
0;2017-02-01 23:25:00;0
0;2017-02-01 23:30:00;0
51049011;2017-02-01 23:35:00;1
0;2017-02-01 23:40:00;0
51049160;2017-02-01 23:45:00;2
0;2017-02-01 23:50:00;0
51049353;2017-02-01 23:55:00;4
0;2017-02-02 00:00:00;0
51049567;2017-02-02 00:05:00;1
0;2017-02-02 00:10:00;0
51049697;2017-02-02 00:15:00;1
51049859;2017-02-02 00:20:00;1
0;2017-02-02 00:25:00;0
0;2017-02-02 00:30:00;0
0;2017-02-02 00:35:00;0
51050108;2017-02-02 00:40:00;1
0;2017-02-02 00:45:00;0
51050277;2017-02-02 00:50:00;1
0;2017-02-02 00:55:00;0
0;2017-02-02 01:00:00;0
0;2017-02-02 01:05:00;0
0;2017-02-02 01:10:00;0
0;2017-02-02 01:15:00;0
0;2017-02-02 01:20:00;0
0;2017-02-02 01:25:00;0
0;2017-02-02 01:30:00;0
51050780;2017-02-02 01:35:00;3
0;2017-02-02 01:40:00;0
51050894;2017-02-02 01:45:00;1
0;2017-02-02 01:50:00;0
0;2017-02-02 01:55:00;0
0;2017-02-02 02:00:00;0
0;2017-02-02 02:05:00;0
0;2017-02-02 02:10:00;0
0;2017-02-02 02:15:00;0
51051153;2017-02-02 02:20:00;1
0;2017-02-02 02:25:00;0
0;2017-02-02 02:30:00;0
0;2017-02-02 02:35:00;0
51051259;2017-02-02 02:40:00;1
51051296;2017-02-02 02:45:00;3
0;2017-02-02 02:50:00;0
0;2017-02-02 02:55:00;0
0;2017-02-02 03:00:00;0
0;2017-02-02 03:05:00;0
0;2017-02-02 03:10:00;0
0;2017-02-02 03:15:00;0
0;2017-02-02 03:20:00;0
0;2017-02-02 03:25:00;0
0;2017-02-02 03:30:00;0
0;2017-02-02 03:35:00;0
0;2017-02-02 03:40:00;0
0;2017-02-02 03:45:00;0
51052100;2017-02-02 03:50:00;1
0;2017-02-02 03:55:00;0
0;2017-02-02 04:00:00;0
0;2017-02-02 04:05:00;0
0;2017-02-02 04:10:00;0
0;2017-02-02 04:15:00;0
0;2017-02-02 04:20:00;0
0;2017-02-02 04:25:00;0
0;2017-02-02 04:30:00;0
51052257;2017-02-02 04:35:00;1
51052265;2017-02-02 04:40:00;2
51052288;2017-02-02 04:45:00;1
0;2017-02-02 04:50:00;0
0;2017-02-02 04:55:00;0
0;2017-02-02 05:00:00;0
0;2017-02-02 05:05:00;0
51052401;2017-02-02 05:10:00;1
0;2017-02-02 05:15:00;0
0;2017-02-02 05:20:00;0
0;2017-02-02 05:25:00;0
0;2017-02-02 05:30:00;0
51052498;2017-02-02 05:35:00;1
0;2017-02-02 05:40:00;0
0;2017-02-02 05:45:00;0
0;2017-02-02 05:50:00;0
51052624;2017-02-02 05:55:00;1
0;2017-02-02 06:00:00;0
0;2017-02-02 06:05:00;0
0;2017-02-02 06:10:00;0
0;2017-02-02 06:15:00;0
0;2017-02-02 06:20:00;0
51052843;2017-02-02 06:25:00;1
0;2017-02-02 06:30:00;0
51052928;2017-02-02 06:35:00;1
0;2017-02-02 06:40:00;0
0;2017-02-02 06:45:00;0
0;2017-02-02 06:50:00;0
0;2017-02-02 06:55:00;0
0;2017-02-02 07:00:00;0
0;2017-02-02 07:05:00;0
0;2017-02-02 07:10:00;0
0;2017-02-02 07:15:00;0
51053339;2017-02-02 07:20:00;2
0;2017-02-02 07:25:00;0
0;2017-02-02 07:30:00;0
0;2017-02-02 07:35:00;0
0;2017-02-02 07:40:00;0
0;2017-02-02 07:45:00;0
51053669;2017-02-02 07:50:00;2
0;2017-02-02 07:55:00;0
51053872;2017-02-02 08:00:00;3
51053995;2017-02-02 08:05:00;2
51054094;2017-02-02 08:10:00;2
0;2017-02-02 08:15:00;0
51054338;2017-02-02 08:20:00;2
51054420;2017-02-02 08:25:00;4
51054600;2017-02-02 08:30:00;2
51054767;2017-02-02 08:35:00;1
51054986;2017-02-02 08:40:00;2
51055067;2017-02-02 08:45:00;2
51055420;2017-02-02 08:50:00;2
51055619;2017-02-02 08:55:00;5
51056131;2017-02-02 09:00:00;1
51056250;2017-02-02 09:05:00;4
51056576;2017-02-02 09:10:00;3
51056854;2017-02-02 09:15:00;5
51057070;2017-02-02 09:20:00;5
51057391;2017-02-02 09:25:00;6
51057612;2017-02-02 09:30:00;2
51057802;2017-02-02 09:35:00;4
51058078;2017-02-02 09:40:00;7
51058321;2017-02-02 09:45:00;7
51058591;2017-02-02 09:50:00;3
51058876;2017-02-02 09:55:00;4
51059083;2017-02-02 10:00:00;7
51059361;2017-02-02 10:05:00;3
51059683;2017-02-02 10:10:00;4
51059936;2017-02-02 10:15:00;5
51060278;2017-02-02 10:20:00;10
51060609;2017-02-02 10:25:00;3
51060837;2017-02-02 10:30:00;2
51061059;2017-02-02 10:35:00;5
51061337;2017-02-02 10:40:00;3
51061547;2017-02-02 10:45:00;5
51061762;2017-02-02 10:50:00;4
51062220;2017-02-02 10:55:00;1
51062487;2017-02-02 11:00:00;2
51062565;2017-02-02 11:05:00;8
51062878;2017-02-02 11:10:00;3
51063168;2017-02-02 11:15:00;8
51063483;2017-02-02 11:20:00;5
51063691;2017-02-02 11:25:00;3
51063841;2017-02-02 11:30:00;3
51064142;2017-02-02 11:35:00;6
51064417;2017-02-02 11:40:00;5
51064690;2017-02-02 11:45:00;4
51065097;2017-02-02 11:50:00;2
51065282;2017-02-02 11:55:00;5
51065642;2017-02-02 12:00:00;1
51065794;2017-02-02 12:05:00;2
51066055;2017-02-02 12:10:00;5
51066413;2017-02-02 12:15:00;2
51066601;2017-02-02 12:20:00;4
51066797;2017-02-02 12:25:00;3
51066950;2017-02-02 12:30:00;3
51067106;2017-02-02 12:35:00;3
51067350;2017-02-02 12:40:00;5
51067495;2017-02-02 12:45:00;2
51067689;2017-02-02 12:50:00;5
51067922;2017-02-02 12:55:00;7
51068230;2017-02-02 13:00:00;4
51068573;2017-02-02 13:05:00;5
51068767;2017-02-02 13:10:00;6
51069095;2017-02-02 13:15:00;3
51069408;2017-02-02 13:20:00;5
51069773;2017-02-02 13:25:00;4
51070035;2017-02-02 13:30:00;3
51070359;2017-02-02 13:35:00;8
51070671;2017-02-02 13:40:00;6
51070969;2017-02-02 13:45:00;9
51071291;2017-02-02 13:50:00;6
51071649;2017-02-02 13:55:00;4
51071804;2017-02-02 14:00:00;3
51072109;2017-02-02 14:05:00;4
51072399;2017-02-02 14:10:00;4
51072766;2017-02-02 14:15:00;4
51073031;2017-02-02 14:20:00;5
51073421;2017-02-02 14:25:00;1
51073647;2017-02-02 14:30:00;3
51074044;2017-02-02 14:35:00;2
51074209;2017-02-02 14:40:00;3
51074486;2017-02-02 14:45:00;5
51074884;2017-02-02 14:50:00;1
51075141;2017-02-02 14:55:00;1
51075312;2017-02-02 15:00:00;3
51075666;2017-02-02 15:05:00;4
51076043;2017-02-02 15:10:00;2
51076379;2017-02-02 15:15:00;9
51076695;2017-02-02 15:20:00;2
51076928;2017-02-02 15:25:00;4
51077183;2017-02-02 15:30:00;5
51077658;2017-02-02 15:35:00;1
51077675;2017-02-02 15:40:00;5
51078043;2017-02-02 15:45:00;4
51078324;2017-02-02 15:50:00;3
51078497;2017-02-02 15:55:00;5
51078824;2017-02-02 16:00:00;5
51079270;2017-02-02 16:05:00;1
51079521;2017-02-02 16:10:00;3
51079670;2017-02-02 16:15:00;3
51079850;2017-02-02 16:20:00;5
51080127;2017-02-02 16:25:00;4
51080419;2017-02-02 16:30:00;6
51080679;2017-02-02 16:35:00;1
0;2017-02-02 16:40:00;0
51081275;2017-02-02 16:45:00;4
51081479;2017-02-02 16:50:00;2
51081822;2017-02-02 16:55:00;7
51082172;2017-02-02 17:00:00;3
51082584;2017-02-02 17:05:00;3
51083042;2017-02-02 17:10:00;2
51083092;2017-02-02 17:15:00;2
51083358;2017-02-02 17:20:00;2
51083621;2017-02-02 17:25:00;4
51083970;2017-02-02 17:30:00;5
51084089;2017-02-02 17:35:00;3
51084415;2017-02-02 17:40:00;1
0;2017-02-02 17:45:00;0
51084901;2017-02-02 17:50:00;1
51084999;2017-02-02 17:55:00;1
51085628;2017-02-02 18:00:00;1
0;2017-02-02 18:05:00;0
0;2017-02-02 18:10:00;0
51086316;2017-02-02 18:15:00;2
51086618;2017-02-02 18:20:00;1
51086842;2017-02-02 18:25:00;1
51086953;2017-02-02 18:30:00;2
0;2017-02-02 18:35:00;0
0;2017-02-02 18:40:00;0
51087569;2017-02-02 18:45:00;3
51087782;2017-02-02 18:50:00;1
51087905;2017-02-02 18:55:00;1
0;2017-02-02 19:00:00;0
0;2017-02-02 19:05:00;0
51088491;2017-02-02 19:10:00;1
0;2017-02-02 19:15:00;0
0;2017-02-02 19:20:00;0
0;2017-02-02 19:25:00;0
0;2017-02-02 19:30:00;0
51089339;2017-02-02 19:35:00;1
51089372;2017-02-02 19:40:00;1
51089678;2017-02-02 19:45:00;1
0;2017-02-02 19:50:00;0
0;2017-02-02 19:55:00;0
0;2017-02-02 20:00:00;0
51090211;2017-02-02 20:05:00;1
0;2017-02-02 20:10:00;0
51090561;2017-02-02 20:15:00;1
0;2017-02-02 20:20:00;0
0;2017-02-02 20:25:00;0
51091046;2017-02-02 20:30:00;1
0;2017-02-02 20:35:00;0
0;2017-02-02 20:40:00;0
51091602;2017-02-02 20:45:00;1
0;2017-02-02 20:50:00;0
0;2017-02-02 20:55:00;0
0;2017-02-02 21:00:00;0
0;2017-02-02 21:05:00;0
51092440;2017-02-02 21:10:00;2
51092504;2017-02-02 21:15:00;2
0;2017-02-02 21:20:00;0
51092934;2017-02-02 21:25:00;1
0;2017-02-02 21:30:00;0
